629,1
159,2
487,2
1098,2
2920,2
2934,2
3286,3
1432,4
3220,4
468,5
649,6
1502,7
1834,8
2138,8
179,9
1034,9
1008,10
1671,11
2623,11
2035,12
114,13
558,13
678,13
795,13
840,13
967,13
1098,13
1358,13
1623,13
1761,13
2475,13
2488,13
1168,14
1494,14
1872,14
1895,14
2712,14
147,15
1249,15
2522,16
315,17
617,17
623,17
1014,17
1423,17
1568,17
1606,17
1709,17
2167,17
2416,17
2417,17
2418,17
2419,17
2598,17
880,18
2151,18
583,19
779,19
813,19
1339,20
1452,20
3309,20
3081,21
1074,22
727,23
2141,23
3252,23
1943,24
1228,25
2028,25
2058,26
2332,26
223,27
2730,27
230,28
756,28
1013,28
1291,28
1423,28
1944,28
2022,28
2024,28
2283,28
2783,28
136,29
1448,29
1579,29
1679,29
1913,29
2060,29
2313,29
2314,29
2315,29
2316,29
2317,29
1423,30
2839,30
533,31
1423,31
137,32
1132,32
1626,32
1760,32
119,33
3010,33
825,34
1823,34
3194,34
3198,34
3327,34
76,35
90,36
764,37
1746,38
2229,39
2389,39
1413,40
2467,40
632,41
2626,41
607,42
1060,42
3310,42
2656,43
137,44
888,44
1097,44
1239,44
1430,44
1626,44
1732,44
1760,44
2633,44
2634,44
1228,45
1846,45
940,46
3238,47
821,48
1099,48
1389,48
3131,48
3132,48
2186,49
1254,50
1511,50
2229,50
2342,50
2456,50
2995,50
2529,51
2530,51
454,52
494,52
1035,52
1215,52
1423,52
1608,52
2526,52
2829,52
275,53
1618,53
62,54
729,55
1904,55
2379,55
187,56
2120,56
2325,56
1028,57
2610,57
488,58
2571,58
285,59
741,59
743,59
1417,59
2010,59
932,60
963,60
969,60
1215,60
1291,60
1423,60
2827,60
794,61
917,61
2993,61
54,62
1444,62
1515,62
1735,62
2064,62
2114,62
1621,63
1054,64
1432,65
1945,66
1063,67
2343,67
3145,67
1961,68
2412,69
158,70
1179,70
2371,70
809,71
1475,71
2246,71
2336,71
2558,71
2900,71
3010,71
329,72
661,72
1897,73
498,74
833,74
1780,74
2366,75
35,76
1301,76
1698,76
1880,76
1133,77
1862,77
2429,77
2531,77
2645,77
2956,77
1223,78
1688,79
2044,79
2367,79
2493,79
299,80
2090,80
